DESCRIPCION	codigo producto cleinte	descripcion rpdocuto cliente	HTS
PRODUCTOAPP	PTILOTUS	PTILOTUS	06.03.19.90.90
PRODUCTOAPP	DUSTY MILLER	DUSTY MILLER	06.04.20.00.00
PRODUCTOAPP	BROCOLI	BROCOLI	710802000
PRODUCTOAPP	ECHINACEA	ECHINACEA	06.03.19.90.90
PRODUCTOAPP	CALLISTEMON	CALLISTEMON	603199090
PRODUCTOAPP	LONICERA	LONICERA	06.04.20.0000
PRODUCTOAPP	RAFFINES	RAFFINES	0303.19.0190
PRODUCTOAPP	PAPAVER NUDICALE	PAPAVER NUDICALE	603199090
PRODUCTOAPP	CARYOPTERIS	CARYOPTERIS	603900000
PRODUCTOAPP	LILIUM	LILIUM	06.03.15.00.00
PRODUCTOAPP	LILIUM	LILIUM	06.03.15.00.00
PRODUCTOAPP	LECHUGA	LECHUGA	705190000
PRODUCTOAPP	PENNYCRESS	PENNYCRESS	06.04.20.00.00
PRODUCTOAPP	SOLANUM MAMMOSUM	SOLANUM MAMMOSUM	0604.20.00.86
PRODUCTOAPP	SALIX	SALIX	0604.20.00.86
PRODUCTOAPP	RUMEX	RUMEX	06.03.19.90.90
PRODUCTOAPP	HELLEBORUS	HELLEBORUS	603199090
PRODUCTOAPP	HELLEBORUS	HELLEBORUS	603199090
PRODUCTOAPP	PERICALLIS	PERICALLIS	603199090
PRODUCTOAPP	OXYPETALUM	OXYPETALUM	0602.90.1000
PRODUCTOAPP	PITAHAYA AMARILLA	PITAHAYA AMARILLA	810904000
PRODUCTOAPP	PITAHAYA ROJA	PITAHAYA ROJA	810904000
PRODUCTOAPP	CURUBA	CURUBA	810901090
PRODUCTOAPP	ROMERO	ROMERO	604200000
PRODUCTOAPP	ARALIA	ARALIA	06.04.20.00.00
PRODUCTOAPP	HELECHO CUERO	HELECHO CUERO	06.04.20.00.00
PRODUCTOAPP	APIO	APIO	709400000
PRODUCTOAPP	LECHUGA	LECHUGA	705190000
PRODUCTOAPP	COL	COL	704900000
PRODUCTOAPP	COLIFLOR	COLIFLOR	704100000
PRODUCTOAPP	BROCOLI	BROCOLI	704100000
PRODUCTOAPP	SMILAX	SMILAX	604200000
PRODUCTOAPP	SMILAX	SMILAX	604200000
LATHYRUS	LATHYRUS	LATHYRUS	06.03.19.90.90
PRODUCTOAPP	AVE DEL PARAISO	AVE DEL PARAISO	603199090
PRODUCTOAPP	ORLAYA	ORLAYA	603199090
PRODUCTOAPP	COPROSMA	COPROSMA	06.04.20.00.00
PRODUCTOAPP	EUSTOMA	EUSTOMA	06.03.19.01.29
