DESCRIPCION	codigo producto cleinte	descripcion rpdocuto cliente	HTS
Pineapple	PINEAPPLES	PINEAPPLES	08.04.30.00.00
Pineapples	PINEAPPLES	PINEAPPLES	08.04.30.00.00
PINO	PINO	PINO	44.21.99.90.00
Pittosporum	PITTOSPORUM	PITTOSPORUM	06.04.20.00.00
POK	POK	POK	06.03.19.00.60
Pom Button	POMPON	POMPON	06.03.14.10.00
Pom CB	POMPON	POMPON	06.03.14.10.00
Pom CDN	POMPON	POMPON	06.03.14.10.00
Pom Cushion	POMPON	POMPON	06.03.14.10.00
Pom Daisy	POMPON	POMPON	06.03.14.10.00
Pom Micro	POMPON	POMPON	06.03.14.10.00
Pom Novelty	POMPON	POMPON	06.03.14.10.00
Pom Poms	POMPON	POMPON	06.03.14.10.00
Pom Pons	POMPON	POMPON	06.03.14.10.00
POMPOM	POMPON	POMPON	06.03.14.10.00
POMPON	POMPON	POMPON	06.03.14.10.00
Pompon Button	POMPON	POMPON	06.03.14.10.00
Pompon CDN	POMPON	POMPON	06.03.14.10.00
Pompon Cushion	POMPON	POMPON	06.03.14.10.00
Pompon Daisy	POMPON	POMPON	06.03.14.10.00
Pompon Micro	POMPON	POMPON	06.03.14.10.00
Pompon Novelty	POMPON	POMPON	06.03.14.10.00
RANUNCULUS	RANUNCULUS	RANUNCULUS	06.03.19.00.60
ROSA	ROSES	ROSES	06.03.11.00.60
ROSA GERALDINE	ROSES	ROSES	06.03.11.00.60
ROSA SEETNESS	ROSES	ROSES	06.03.11.00.60
ROSE HIGH	ROSES	ROSES	06.03.11.00.60
ROSE QUICK SAND	ROSES	ROSES	06.03.11.00.60
ROSE TARA	ROSES	ROSES	06.03.11.00.60
ROSE TERRANOSTRA	ROSES	ROSES	06.03.11.00.60
ROSES	ROSES	ROSES	06.03.11.00.60
ROSES - A-GOLD/GOL	ROSES	ROSES	06.03.11.00.60
ROSES - A-GOLD/H.P	ROSES	ROSES	06.03.11.00.60
ROSES - A-GOLD/LIV	ROSES	ROSES	06.03.11.00.60
ROSES - AALSMEER	ROSES	ROSES	06.03.11.00.60
ROSES - ABRACADABR	ROSES	ROSES	06.03.11.00.60
ROSES - ACAPULCO	ROSES	ROSES	06.03.11.00.60
ROSES - ACAPULCO/L	ROSES	ROSES	06.03.11.00.60
ROSES - AKITO	ROSES	ROSES	06.03.11.00.60
ROSES - AKITO/BLUE	ROSES	ROSES	06.03.11.00.60
ROSES - ALEX	ROSES	ROSES	06.03.11.00.60
ROSES - ALIZEE	ROSES	ROSES	06.03.11.00.60
ROSES - ALLURE	ROSES	ROSES	06.03.11.00.60
ROSES - ALLURE/SKI	ROSES	ROSES	06.03.11.00.60
ROSES - ALS.GOLD	ROSES	ROSES	06.03.11.00.60
ROSES - ALS/KON	ROSES	ROSES	06.03.11.00.60
ROSES - ALVARO	ROSES	ROSES	06.03.11.00.60
ROSES - ALVARO/LIV	ROSES	ROSES	06.03.11.00.60
ROSES - ALWAYS LOV	ROSES	ROSES	06.03.11.00.60
ROSES - AMANDINE	ROSES	ROSES	06.03.11.00.60
ROSES - AMBIANCE	ROSES	ROSES	06.03.11.00.60
ROSES - AMBIANCE/C	ROSES	ROSES	06.03.11.00.60
ROSES - AMBIANCE/L	ROSES	ROSES	06.03.11.00.60
ROSES - AMELIA	ROSES	ROSES	06.03.11.00.60
ROSES - AMSTERDAM	ROSES	ROSES	06.03.11.00.60
ROSES - ANASTASIA	ROSES	ROSES	06.03.11.00.60
ROSES - ANDEAN CRI	ROSES	ROSES	06.03.11.00.60
ROSES - ANGELINE	ROSES	ROSES	06.03.11.00.60
ROSES - ANNA	ROSES	ROSES	06.03.11.00.60
ROSES - ANNA/ATTAC	ROSES	ROSES	06.03.11.00.60
ROSES - ANNA/OSIAN	ROSES	ROSES	06.03.11.00.60
ROSES - ANNA/RAVEL	ROSES	ROSES	06.03.11.00.60
ROSES - ANNA/VIRGI	ROSES	ROSES	06.03.11.00.60
ROSES - ANNE MARIE	ROSES	ROSES	06.03.11.00.60
ROSES - APACHE	ROSES	ROSES	06.03.11.00.60
ROSES - AQUA PK	ROSES	ROSES	06.03.11.00.60
ROSES - ARABIA	ROSES	ROSES	06.03.11.00.60
ROSES - ARIANA	ROSES	ROSES	06.03.11.00.60
ROSES - ARTIC WHIT	ROSES	ROSES	06.03.11.00.60
ROSES - AS.RUSSIIA	ROSES	ROSES	06.03.11.00.60
ROSES - AS.SPC PAC	ROSES	ROSES	06.03.11.00.60
ROSES - ASSORT	ROSES	ROSES	06.03.11.00.60
ROSES - ASSORTED	ROSES	ROSES	06.03.11.00.60
ROSES - ASSORTED C	ROSES	ROSES	06.03.11.00.60
ROSES - ASSORTED P	ROSES	ROSES	06.03.11.00.60
ROSES - ASSORTED Y	ROSES	ROSES	06.03.11.00.60
ROSES - ASST PINK	ROSES	ROSES	06.03.11.00.60
ROSES - ASST WHITE	ROSES	ROSES	06.03.11.00.60
ROSES - ASST YELLO	ROSES	ROSES	06.03.11.00.60
ROSES - ATRAKTA	ROSES	ROSES	06.03.11.00.60
ROSES - ATTACHE	ROSES	ROSES	06.03.11.00.60
ROSES - ATTACHE/AK	ROSES	ROSES	06.03.11.00.60
ROSES - ATTRACTION	ROSES	ROSES	06.03.11.00.60
ROSES - AVALANCHE	ROSES	ROSES	06.03.11.00.60
ROSES - AVANT GARD	ROSES	ROSES	06.03.11.00.60
ROSES - AZAFRAN	ROSES	ROSES	06.03.11.00.60
ROSES - B.CURIOSA/	ROSES	ROSES	06.03.11.00.60
ROSES - B.MAGIC/CL	ROSES	ROSES	06.03.11.00.60
ROSES - B.MAGIC/DE	ROSES	ROSES	06.03.11.00.60
ROSES - B.MAGIC/KO	ROSES	ROSES	06.03.11.00.60
ROSES - B.MAGIC/LE	ROSES	ROSES	06.03.11.00.60
ROSES - BACARA RUS	ROSES	ROSES	06.03.11.00.60
ROSES - BACCARA	ROSES	ROSES	06.03.11.00.60
ROSES - BACCARA/FO	ROSES	ROSES	06.03.11.00.60
ROSES - BALLET	ROSES	ROSES	06.03.11.00.60
ROSES - BELLAVITA	ROSES	ROSES	06.03.11.00.60
ROSES - BELLE ROUG	ROSES	ROSES	06.03.11.00.60
ROSES - BENGALA	ROSES	ROSES	06.03.11.00.60
ROSES - BETTY	ROSES	ROSES	06.03.11.00.60
ROSES - BIANCA	ROSES	ROSES	06.03.11.00.60
ROSES - BIBI	ROSES	ROSES	06.03.11.00.60
ROSES - BIG FUN	ROSES	ROSES	06.03.11.00.60
ROSES - BLACK MAGI	ROSES	ROSES	06.03.11.00.60
ROSES - BLIZZAR RU	ROSES	ROSES	06.03.11.00.60
ROSES - BLIZZAR/JA	ROSES	ROSES	06.03.11.00.60
ROSES - BLIZZARD	ROSES	ROSES	06.03.11.00.60
ROSES - BLOODY MAR	ROSES	ROSES	06.03.11.00.60
ROSES - BLUE BELL	ROSES	ROSES	06.03.11.00.60
ROSES - BLUE CURIO	ROSES	ROSES	06.03.11.00.60
ROSES - BLUE TINT	ROSES	ROSES	06.03.11.00.60
ROSES - BLUE/PUR	ROSES	ROSES	06.03.11.00.60
ROSES - BLUEBIRD	ROSES	ROSES	06.03.11.00.60
ROSES - BLUEBIRD/G	ROSES	ROSES	06.03.11.00.60
ROSES - BLUEBIRD/P	ROSES	ROSES	06.03.11.00.60
ROSES - BLUEBIRD/V	ROSES	ROSES	06.03.11.00.60
ROSES - BLUSH	ROSES	ROSES	06.03.11.00.60
ROSES - BLUSHING	ROSES	ROSES	06.03.11.00.60
ROSES - BLUSHING A	ROSES	ROSES	06.03.11.00.60
ROSES - BQT	ROSES	ROSES	06.03.11.00.60
ROSES - BUGATTI	ROSES	ROSES	06.03.11.00.60
ROSES - CADILLAC	ROSES	ROSES	06.03.11.00.60
ROSES - CAMEL	ROSES	ROSES	06.03.11.00.60
ROSES - CANDY BIAN	ROSES	ROSES	06.03.11.00.60
ROSES - CARAMBA	ROSES	ROSES	06.03.11.00.60
ROSES - CARAMELLA	ROSES	ROSES	06.03.11.00.60
ROSES - CARNAVAL	ROSES	ROSES	06.03.11.00.60
ROSES - CAROLLA	ROSES	ROSES	06.03.11.00.60
ROSES - CAROUSEL	ROSES	ROSES	06.03.11.00.60
ROSES - CARTAGENA	ROSES	ROSES	06.03.11.00.60
ROSES - CB ASSORTE	ROSES	ROSES	06.03.11.00.60
ROSES - CB RED	ROSES	ROSES	06.03.11.00.60
ROSES - CB RED & C	ROSES	ROSES	06.03.11.00.60
ROSES - CEZANNE	ROSES	ROSES	06.03.11.00.60
ROSES - CH.SOUTINE	ROSES	ROSES	06.03.11.00.60
ROSES - CH.UNIQUE/	ROSES	ROSES	06.03.11.00.60
ROSES - CHANSON	ROSES	ROSES	06.03.11.00.60
ROSES - CHAR/COLOR	ROSES	ROSES	06.03.11.00.60
ROSES - CHAR/FREED	ROSES	ROSES	06.03.11.00.60
ROSES - CHAR/MADAM	ROSES	ROSES	06.03.11.00.60
ROSES - CHARLENE	ROSES	ROSES	06.03.11.00.60
ROSES - CHARLOTTE	ROSES	ROSES	06.03.11.00.60
ROSES - CHARLOTTE/	ROSES	ROSES	06.03.11.00.60
ROSES - CHARMING R	ROSES	ROSES	06.03.11.00.60
ROSES - CHARMING U	ROSES	ROSES	06.03.11.00.60
ROSES - CHERRY BRA	ROSES	ROSES	06.03.11.00.60
ROSES - CHERRY LOV	ROSES	ROSES	06.03.11.00.60
ROSES - CIRCUS	ROSES	ROSES	06.03.11.00.60
ROSES - CITRAN	ROSES	ROSES	06.03.11.00.60
ROSES - CLASSY	ROSES	ROSES	06.03.11.00.60
ROSES - CLASSY CEZ	ROSES	ROSES	06.03.11.00.60
ROSES - CLASSY/COL	ROSES	ROSES	06.03.11.00.60
ROSES - CLEAR OCEA	ROSES	ROSES	06.03.11.00.60
ROSES - CLEOPATRA	ROSES	ROSES	06.03.11.00.60
ROSES - CLEOPATRA/	ROSES	ROSES	06.03.11.00.60
ROSES - CLEROCEUM	ROSES	ROSES	06.03.11.00.60
ROSES - COCKTAIL	ROSES	ROSES	06.03.11.00.60
ROSES - COFFEE BREAK	ROSES	ROSES	06.03.11.00.60
ROSES - COLOR BQT	ROSES	ROSES	06.03.11.00.60
ROSES - CONGA	ROSES	ROSES	06.03.11.00.60
ROSES - CONGA RUSS	ROSES	ROSES	06.03.11.00.60
ROSES - CONIE	ROSES	ROSES	06.03.11.00.60
ROSES - CONTESSE	ROSES	ROSES	06.03.11.00.60
ROSES - COOL WATER	ROSES	ROSES	06.03.11.00.60
ROSES - COOLWATER/	ROSES	ROSES	06.03.11.00.60
ROSES - CORAL SEA	ROSES	ROSES	06.03.11.00.60
ROSES - CORVETTE	ROSES	ROSES	06.03.11.00.60
ROSES - COSMIC	ROSES	ROSES	06.03.11.00.60
ROSES - CREAM PROP	ROSES	ROSES	06.03.11.00.60
ROSES - CREME D LA	ROSES	ROSES	06.03.11.00.60
ROSES - CUMBIA	ROSES	ROSES	06.03.11.00.60
ROSES - D`LORO	ROSES	ROSES	06.03.11.00.60
ROSES - DAKAR	ROSES	ROSES	06.03.11.00.60
ROSES - DANIELLA	ROSES	ROSES	06.03.11.00.60
ROSES - DANIELLA R	ROSES	ROSES	06.03.11.00.60
ROSES - DEJA VU	ROSES	ROSES	06.03.11.00.60
ROSES - DELLIAH	ROSES	ROSES	06.03.11.00.60
ROSES - DIPLOMAT	ROSES	ROSES	06.03.11.00.60
ROSES - DOLCE VITA	ROSES	ROSES	06.03.11.00.60
ROSES - DOLCEVITA	ROSES	ROSES	06.03.11.00.60
ROSES - DOLORES	ROSES	ROSES	06.03.11.00.60
ROSES - DONA SOL	ROSES	ROSES	06.03.11.00.60
ROSES - DONNA	ROSES	ROSES	06.03.11.00.60
ROSES - DONNA RUSS	ROSES	ROSES	06.03.11.00.60
ROSES - DONNA/KONF	ROSES	ROSES	06.03.11.00.60
ROSES - DREMED LA	ROSES	ROSES	06.03.11.00.60
ROSES - DUETT	ROSES	ROSES	06.03.11.00.60
ROSES - ELENA	ROSES	ROSES	06.03.11.00.60
ROSES - ELIZA	ROSES	ROSES	06.03.11.00.60
ROSES - ELIZA RUSS	ROSES	ROSES	06.03.11.00.60
ROSES - EMBLEN	ROSES	ROSES	06.03.11.00.60
ROSES - EMMA	ROSES	ROSES	06.03.11.00.60
ROSES - ENGAGEMENT	ROSES	ROSES	06.03.11.00.60
ROSES - ENIGMA	ROSES	ROSES	06.03.11.00.60
ROSES - ENSUEYO	ROSES	ROSES	06.03.11.00.60
ROSES - ERIN	ROSES	ROSES	06.03.11.00.60
ROSES - ESCALIBUR	ROSES	ROSES	06.03.11.00.60
ROSES - ESCIMO	ROSES	ROSES	06.03.11.00.60
ROSES - ESCIMO/JAD	ROSES	ROSES	06.03.11.00.60
ROSES - ESCIMO/VEN	ROSES	ROSES	06.03.11.00.60
ROSES - ESPERANCE	ROSES	ROSES	06.03.11.00.60
ROSES - ESPERANCE/	ROSES	ROSES	06.03.11.00.60
ROSES - ESTELLE	ROSES	ROSES	06.03.11.00.60
ROSES - ESTELLE/LE	ROSES	ROSES	06.03.11.00.60
ROSES - EUFORIA	ROSES	ROSES	06.03.11.00.60
ROSES - EVOLUCION	ROSES	ROSES	06.03.11.00.60
ROSES - EXOTICA	ROSES	ROSES	06.03.11.00.60
ROSES - FAITH	ROSES	ROSES	06.03.11.00.60
ROSES - FALL PACK	ROSES	ROSES	06.03.11.00.60
ROSES - FANCY AMAZ	ROSES	ROSES	06.03.11.00.60
ROSES - FARENHEIT	ROSES	ROSES	06.03.11.00.60
ROSES - FASHION	ROSES	ROSES	06.03.11.00.60
ROSES - FICTION	ROSES	ROSES	06.03.11.00.60
ROSES - FINE WINE	ROSES	ROSES	06.03.11.00.60
ROSES - FIRE ON IC	ROSES	ROSES	06.03.11.00.60
ROSES - FIRST RED	ROSES	ROSES	06.03.11.00.60
ROSES - FLAMENCO	ROSES	ROSES	06.03.11.00.60
ROSES - FLAMENCO R	ROSES	ROSES	06.03.11.00.60
ROSES - FLAMINGO	ROSES	ROSES	06.03.11.00.60
ROSES - FOR EVER Y	ROSES	ROSES	06.03.11.00.60
ROSES - FOREVER WH	ROSES	ROSES	06.03.11.00.60
ROSES - FOREVER Y.	ROSES	ROSES	06.03.11.00.60
ROSES - FOREVER YO	ROSES	ROSES	06.03.11.00.60
ROSES - FOREVERYOU	ROSES	ROSES	06.03.11.00.60
ROSES - FREEDOM	ROSES	ROSES	06.03.11.00.60
ROSES - FREEDOM RU	ROSES	ROSES	06.03.11.00.60
ROSES - FREEDOM VA	ROSES	ROSES	06.03.11.00.60
ROSES - FREEDON/MA	ROSES	ROSES	06.03.11.00.60
ROSES - FRIENDSHIP	ROSES	ROSES	06.03.11.00.60
ROSES - FUNKY	ROSES	ROSES	06.03.11.00.60
ROSES - FURIA	ROSES	ROSES	06.03.11.00.60
ROSES - G.EMBLEM	ROSES	ROSES	06.03.11.00.60
ROSES - G.STK/SWT	ROSES	ROSES	06.03.11.00.60
ROSES - G.STRIKE/L	ROSES	ROSES	06.03.11.00.60
ROSES - GALA	ROSES	ROSES	06.03.11.00.60
ROSES - GALINDA	ROSES	ROSES	06.03.11.00.60
ROSES - GEISHA	ROSES	ROSES	06.03.11.00.60
ROSES - GOLD DREAM	ROSES	ROSES	06.03.11.00.60
ROSES - GOLD STAR	ROSES	ROSES	06.03.11.00.60
ROSES - GOLD STRIK	ROSES	ROSES	06.03.11.00.60
ROSES - GOLDA	ROSES	ROSES	06.03.11.00.60
ROSES - GOLDSTRIKE	ROSES	ROSES	06.03.11.00.60
ROSES - GOTCHA	ROSES	ROSES	06.03.11.00.60
ROSES - GRAMD SLAM	ROSES	ROSES	06.03.11.00.60
ROSES - GREEN TEA	ROSES	ROSES	06.03.11.00.60
ROSES - GYP CURIOS	ROSES	ROSES	06.03.11.00.60
